beta-CoV SUBGENERA,BAT SPECIES,BAT FAMILY,BAT SUBORDER,REGION,REFERENCE(S)
Sarbecovirus (Clade 1),Rhinolophus sp. Kenya,Rhinolophidae,Yinpterochiroptera,Africa,"Tao Y, Tong S. Complete genome sequence of a severe acute respiratory syndrome-related coronavirus from Kenyan bats. Microbiology Resource Announcements. 2019;8:e00548-19. doi: https://doi.org/10.1128/MRA.00548-19."
Sarbecovirus (Clade 1),Nyctalus leisleri,Vespertilionidae,Yangochiroptera,Europe,"Drexler JF, Gloza-Rausch F, Glende J, Corman VM, Muth D, Goettsche M, et al. Genomic characterization of severe acute respiratory syndrome-related coronavirus in European bats and classification of coronaviruses based on partial RNA-dependent RNA polymerase gene sequences. Journal of Virology. 2010;84(21):11336-49. doi: 10.1128/JVI.00650-10."
Sarbecovirus (Clade 1),Plecotus auritus,Vespertilionidae,Yangochiroptera,Europe,"Lecis R, Mucedda M, Pidinchedda E, Pittau M, Alberti A. Molecular identification of Betacoronavirus in bats from Sardinia (Italy): first detection and phylogeny. Virus Genes. 2019;55(1):60-7. doi: 10.1007/s11262-018-1614-8."
Sarbecovirus (Clade 1),Tadarida teniotis,Molossidae,Yangochiroptera,Eurasia,"Lecis R, Mucedda M, Pidinchedda E, Pittau M, Alberti A. Molecular identification of Betacoronavirus in bats from Sardinia (Italy): first detection and phylogeny. Virus Genes. 2019;55(1):60-7. doi: 10.1007/s11262-018-1614-8."
Hibecovirus,Hipposideros armiger,Hipposideridae,Yinpterochiroptera,Asia,"Anthony SJ, Johnson CK, Greig DJ, Kramer S, Che X, Wells H, et al. Global patterns in coronavirus diversity. Virus Evolution. 2017;3(1):vex012. doi: 10.1093/ve/vex012."
Hibecovirus,Hipposideros caffer,Hipposideridae,Yinpterochiroptera,Africa,"Anthony SJ, Johnson CK, Greig DJ, Kramer S, Che X, Wells H, et al. Global patterns in coronavirus diversity. Virus Evolution. 2017;3(1):vex012. doi: 10.1093/ve/vex012."
Hibecovirus,Rhinolophus clivosus,Rhinolophidae,Yinpterochiroptera,Africa,"Anthony SJ, Johnson CK, Greig DJ, Kramer S, Che X, Wells H, et al. Global patterns in coronavirus diversity. Virus Evolution. 2017;3(1):vex012. doi: 10.1093/ve/vex012."
Hibecovirus,Macronycteris commersoni,Hipposideridae,Yinpterochiroptera,Africa,"Tao Y, Tong S. Complete genome sequence of a severe acute respiratory syndrome-related coronavirus from Kenyan bats. Microbiology Resource Announcements. 2019;8:e00548-19. doi: https://doi.org/10.1128/MRA.00548-19."
Hibecovirus,Rhinolophus creaghi,Rhinolophidae,Yinpterochiroptera,Asia,"Anthony SJ, Johnson CK, Greig DJ, Kramer S, Che X, Wells H, et al. Global patterns in coronavirus diversity. Virus Evolution. 2017;3(1):vex012. doi: 10.1093/ve/vex012."
Hibecovirus,Hipposideros galeritus,Hipposideridae,Yinpterochiroptera,Asia,"Anthony SJ, Johnson CK, Greig DJ, Kramer S, Che X, Wells H, et al. Global patterns in coronavirus diversity. Virus Evolution. 2017;3(1):vex012. doi: 10.1093/ve/vex012."
Hibecovirus,Hipposideros larvatus,Hipposideridae,Yinpterochiroptera,Asia,"Anthony SJ, Johnson CK, Greig DJ, Kramer S, Che X, Wells H, et al. Global patterns in coronavirus diversity. Virus Evolution. 2017;3(1):vex012. doi: 10.1093/ve/vex012."
Hibecovirus,Hipposideros lekaguli,Hipposideridae,Yinpterochiroptera,Asia,"Anthony SJ, Johnson CK, Greig DJ, Kramer S, Che X, Wells H, et al. Global patterns in coronavirus diversity. Virus Evolution. 2017;3(1):vex012. doi: 10.1093/ve/vex012."
Hibecovirus,Hipposideros pratti,Hipposideridae,Yinpterochiroptera,Asia,"Tang XC, Zhang JX, Zhang SY, Wang P, Fan XH, Li LF, et al. Prevalance and genetic diversity of coronaviruses in bats from China. Journal of Virology. 2006;80(15):7481-90. doi: 10.1128/JVI.00697-06."
Hibecovirus,Hipposideros ruber,Hipposideridae,Yinpterochiroptera,Africa,"Anthony SJ, Johnson CK, Greig DJ, Kramer S, Che X, Wells H, et al. Global patterns in coronavirus diversity. Virus Evolution. 2017;3(1):vex012. doi: 10.1093/ve/vex012."
Hibecovirus,Rhinonicteris aurantia,Rhinonycteridae,Yinpterochiroptera,Australia,"Smith A, de Jong CE, Meers J, Henning J, Wang L, Field H. Coronavirus infection and diversity in bats in the Australasian Region. EcoHealth. 2016;13:72-82. doi: 10.1007/s10393-016-1116-x."
Nobecovirus,Cynopterus brachyotis,Pteropodidae,Yinpterochiroptera,Asia,"Watanabe S, Masangkay JS, Nagata N, Morikawa S, Mizutani T, Fukushi S, et al. Bat coronaviruses and experimental infection of bats, the Philippines. Emerging Infectious Diseases. 2010;16(8):1217-23. doi: 10.3201/eid1608.100208. || Anthony SJ, Johnson CK, Greig DJ, Kramer S, Che X, Wells H, et al. Global patterns in coronavirus diversity. Virus Evolution. 2017;3(1):vex012. doi: 10.1093/ve/vex012."
Nobecovirus,Cynopterus horsfieldii,Pteropodidae,Yinpterochiroptera,Asia,"Anthony SJ, Johnson CK, Greig DJ, Kramer S, Che X, Wells H, et al. Global patterns in coronavirus diversity. Virus Evolution. 2017;3(1):vex012. doi: 10.1093/ve/vex012."
Nobecovirus,Cynopterus sphinx,Pteropodidae,Yinpterochiroptera,Asia,"Anthony SJ, Johnson CK, Greig DJ, Kramer S, Che X, Wells H, et al. Global patterns in coronavirus diversity. Virus Evolution. 2017;3(1):vex012. doi: 10.1093/ve/vex012."
Nobecovirus,Dobsonia moluccensis,Pteropodidae,Yinpterochiroptera,Asia,"Anindita PD, Sasaki M, Setiyono A, Handharyani E, Orba Y, Kobayashi S, et al. Detection of coronavirus genomes in Moluccan naked-backed fruit bats in Indonesia. Archives of Virology. 2015;160(4):1113-8. doi: 10.1007/s00705-015-2342-1."
Nobecovirus,Dyacopterus spadiceus,Pteropodidae,Yinpterochiroptera,Asia,"Anthony SJ, Johnson CK, Greig DJ, Kramer S, Che X, Wells H, et al. Global patterns in coronavirus diversity. Virus Evolution. 2017;3(1):vex012. doi: 10.1093/ve/vex012."
Nobecovirus,Megaerops kusnotoi,Pteropodidae,Yinpterochiroptera,Asia,"Xu L, Zhang F, Yang W, Jiang T, Lu G, He B, et al. Detection and characterization of diverse alpha- and betacoronaviruses from bats in China. Virologica Sinica. 2016;31(1):69-77. doi: 10.1007/s12250-016-3727-3."
Nobecovirus,Megaerops niphanae,Pteropodidae,Yinpterochiroptera,Asia,"Anthony SJ, Johnson CK, Greig DJ, Kramer S, Che X, Wells H, et al. Global patterns in coronavirus diversity. Virus Evolution. 2017;3(1):vex012. doi: 10.1093/ve/vex012."
Nobecovirus,Eidolon dupreanum,Pteropodidae,Yinpterochiroptera,Africa,"Razanajatovo NH, Nomenjanahary LA, Wilkinson DA, Razafimanahaka JH, Goodman SM, Jenkins RK, et al. Detection of new genetic variants of betacoronaviruses in endemic frugivorous bats of Madagascar. Virology Journal. 2015;12:42. doi: 10.1186/s12985-015-0271-y."
Nobecovirus,Eidolon helvum,Pteropodidae,Yinpterochiroptera,Africa,"Anthony SJ, Johnson CK, Greig DJ, Kramer S, Che X, Wells H, et al. Global patterns in coronavirus diversity. Virus Evolution. 2017;3(1):vex012. doi: 10.1093/ve/vex012."
Nobecovirus,Ptenochirus jagori,Pteropodidae,Yinpterochiroptera,Asia,"Watanabe S, Masangkay JS, Nagata N, Morikawa S, Mizutani T, Fukushi S, et al. Bat coronaviruses and experimental infection of bats, the Philippines. Emerging Infectious Diseases. 2010;16(8):1217-23. doi: 10.3201/eid1608.100208."
Nobecovirus,Pteropus alecto,Pteropodidae,Yinpterochiroptera,Asia,"Smith A, de Jong CE, Meers J, Henning J, Wang L, Field H. Coronavirus infection and diversity in bats in the Australasian Region. EcoHealth. 2016;13:72-82. doi: 10.1007/s10393-016-1116-x. || Anthony SJ, Johnson CK, Greig DJ, Kramer S, Che X, Wells H, et al. Global patterns in coronavirus diversity. Virus Evolution. 2017;3(1):vex012. doi: 10.1093/ve/vex012."
Nobecovirus,Pteropus lylei,Pteropodidae,Yinpterochiroptera,Asia,"Wacharapluesadee S, Duengkae P, Chaiyes A, Kaewpom T, Rodpan A, Yingsakmongkon S, et al. Longitudinal study of age-specific pattern of coronavirus infection in Lyle's flying fox (Pteropus lylei) in Thailand. Virology Journal. 2018;15(1):38. doi: https://doi.org/10.1186/s12985-018-0950-6 10.1186/s12985-018-0950-6."
Nobecovirus,Pteropus medius,Pteropodidae,Yinpterochiroptera,Asia,"Kudagammana HDWS, Thevanesam V, Chu DKW, Eriyagama NB, Peiris JSM, Noordeen F. Coronaviruses in guano from Pteropus medius bats in Peradeniya, Sri Lanka. Transboundary and Emerging Diseases. 2018;65(4):1122-4. doi: 10.1111/tbed.12851."
Nobecovirus,Pteropus rufus,Pteropodidae,Yinpterochiroptera,Africa,"Razanajatovo NH, Nomenjanahary LA, Wilkinson DA, Razafimanahaka JH, Goodman SM, Jenkins RK, et al. Detection of new genetic variants of betacoronaviruses in endemic frugivorous bats of Madagascar. Virology Journal. 2015;12:42. doi: 10.1186/s12985-015-0271-y."
Nobecovirus,Pteropus vampyrus,Pteropodidae,Yinpterochiroptera,Asia,"Anthony SJ, Johnson CK, Greig DJ, Kramer S, Che X, Wells H, et al. Global patterns in coronavirus diversity. Virus Evolution. 2017;3(1):vex012. doi: 10.1093/ve/vex012."
Nobecovirus,Epomophorus gambianus,Pteropodidae,Yinpterochiroptera,Africa,"Anthony SJ, Johnson CK, Greig DJ, Kramer S, Che X, Wells H, et al. Global patterns in coronavirus diversity. Virus Evolution. 2017;3(1):vex012. doi: 10.1093/ve/vex012."
Nobecovirus,Epomophorus labiatus,Pteropodidae,Yinpterochiroptera,Africa,"Nziza J, Goldstein T, Cranfield M, Webala P, Nsengimana O, Nyatanyi T, et al. Coronaviruses detected in bats in close contact with humans in Rwanda. EcoHealth. 2020;17(1):152-9. doi: 10.1007/s10393-019-01458-8."
Nobecovirus,Epomops franqueti,Pteropodidae,Yinpterochiroptera,Africa,"Anthony SJ, Johnson CK, Greig DJ, Kramer S, Che X, Wells H, et al. Global patterns in coronavirus diversity. Virus Evolution. 2017;3(1):vex012. doi: 10.1093/ve/vex012."
Nobecovirus,Epomoporus pusillus,Pteropodidae,Yinpterochiroptera,Africa,"Anthony SJ, Johnson CK, Greig DJ, Kramer S, Che X, Wells H, et al. Global patterns in coronavirus diversity. Virus Evolution. 2017;3(1):vex012. doi: 10.1093/ve/vex012."
Nobecovirus,Eonycteris spelaea,Pteropodidae,Yinpterochiroptera,Asia,"Watanabe S, Masangkay JS, Nagata N, Morikawa S, Mizutani T, Fukushi S, et al. Bat coronaviruses and experimental infection of bats, the Philippines. Emerging Infectious Diseases. 2010;16(8):1217-23. doi: 10.3201/eid1608.100208. || Anthony SJ, Johnson CK, Greig DJ, Kramer S, Che X, Wells H, et al. Global patterns in coronavirus diversity. Virus Evolution. 2017;3(1):vex012. doi: 10.1093/ve/vex012."
Nobecovirus,Macroglossus sp.,Pteropodidae,Yinpterochiroptera,Asia,"Lacroix A, Duong V, Hul V, San S, Davun H, Omaliss K, et al. Genetic diversity of coronaviruses in bats in Lao PDR and Cambodia. Infection, Genetics and Evolution. 2017;48:10-8. doi: 10.1016/j.meegid.2016.11.029."
Nobecovirus,Myonycteris angolensis,Pteropodidae,Yinpterochiroptera,Africa,"Anthony SJ, Johnson CK, Greig DJ, Kramer S, Che X, Wells H, et al. Global patterns in coronavirus diversity. Virus Evolution. 2017;3(1):vex012. doi: 10.1093/ve/vex012."
Nobecovirus,Megaloglossus woermanni,Pteropodidae,Yinpterochiroptera,Africa,"Anthony SJ, Johnson CK, Greig DJ, Kramer S, Che X, Wells H, et al. Global patterns in coronavirus diversity. Virus Evolution. 2017;3(1):vex012. doi: 10.1093/ve/vex012."
Nobecovirus,Rousettus aegyptiacus,Pteropodidae,Yinpterochiroptera,Africa,"Anthony SJ, Johnson CK, Greig DJ, Kramer S, Che X, Wells H, et al. Global patterns in coronavirus diversity. Virus Evolution. 2017;3(1):vex012. doi: 10.1093/ve/vex012."
Nobecovirus,Rousettus amplexicaudatus,Pteropodidae,Yinpterochiroptera,Asia,"Watanabe S, Masangkay JS, Nagata N, Morikawa S, Mizutani T, Fukushi S, et al. Bat coronaviruses and experimental infection of bats, the Philippines. Emerging Infectious Diseases. 2010;16(8):1217-23. doi: 10.3201/eid1608.100208. || Anthony SJ, Johnson CK, Greig DJ, Kramer S, Che X, Wells H, et al. Global patterns in coronavirus diversity. Virus Evolution. 2017;3(1):vex012. doi: 10.1093/ve/vex012."
Nobecovirus,Rousettus leschenaultii,Pteropodidae,Yinpterochiroptera,Asia,"Anthony SJ, Johnson CK, Greig DJ, Kramer S, Che X, Wells H, et al. Global patterns in coronavirus diversity. Virus Evolution. 2017;3(1):vex012. doi: 10.1093/ve/vex012."
Nobecovirus,Hipposideros lekaguli,Hipposideridae,Yinpterochiroptera,Asia,"Anthony SJ, Johnson CK, Greig DJ, Kramer S, Che X, Wells H, et al. Global patterns in coronavirus diversity. Virus Evolution. 2017;3(1):vex012. doi: 10.1093/ve/vex012."
Nobecovirus,Triaenops persicus,Hipposideridae,Yinpterochiroptera,Africa,"Anthony SJ, Johnson CK, Greig DJ, Kramer S, Che X, Wells H, et al. Global patterns in coronavirus diversity. Virus Evolution. 2017;3(1):vex012. doi: 10.1093/ve/vex012."
Nobecovirus,Scotophilus dinganii,Vespertilionidae,Yangochiroptera,Africa,"Anthony SJ, Johnson CK, Greig DJ, Kramer S, Che X, Wells H, et al. Global patterns in coronavirus diversity. Virus Evolution. 2017;3(1):vex012. doi: 10.1093/ve/vex012."
Nobecovirus,Scotophilus heathii,Vespertilionidae,Yangochiroptera,Asia,"Wacharapluesadee S, Duengkae P, Rodpan A, Kaewpom T, Maneeorn P, Kanchanaska B, et al. Diversity of coronavirus in bats from eastern Thailand. Virology Journal. 2015;12(57):1-7. doi: 10.1186/s12985-015-0289-1."
Nobecovirus,Scotophilus kuhlii,Vespertilionidae,Yangochiroptera,Asia,"Wacharapluesadee S, Duengkae P, Rodpan A, Kaewpom T, Maneeorn P, Kanchanaska B, et al. Diversity of coronavirus in bats from eastern Thailand. Virology Journal. 2015;12(57):1-7. doi: 10.1186/s12985-015-0289-1."
Nobecovirus,Scotophilus leucogaster,Vespertilionidae,Yangochiroptera,Africa,"Anthony SJ, Johnson CK, Greig DJ, Kramer S, Che X, Wells H, et al. Global patterns in coronavirus diversity. Virus Evolution. 2017;3(1):vex012. doi: 10.1093/ve/vex012."
Nobecovirus,Mops condylurus,Molossidae,Yangochiroptera,Africa,"Anthony SJ, Johnson CK, Greig DJ, Kramer S, Che X, Wells H, et al. Global patterns in coronavirus diversity. Virus Evolution. 2017;3(1):vex012. doi: 10.1093/ve/vex012."
Merbecovirus,Hipposideros armiger,Hipposideridae,Yinpterochiroptera,Asia,"Anthony SJ, Johnson CK, Greig DJ, Kramer S, Che X, Wells H, et al. Global patterns in coronavirus diversity. Virus Evolution. 2017;3(1):vex012. doi: 10.1093/ve/vex012."
Merbecovirus,Rhinopoma hardwickii ,Rhinopomatidae,Yinpterochiroptera,Africa/Asia,"Memish ZA, Mishra N, Olival KJ, Fagbo SF, Kapoor V, Epstein JH, et al. Middle East respiratory syndrome coronavirus in bats, Saudi Arabia. Emerging Infectious Diseases. 2013;19(11):1819-1823. doi:10.3201/eid1911.131172."
Merbecovirus,Myotis daubentonii,Vespertilionidae,Yangochiroptera,Eurasia,"Xu L, Zhang F, Yang W, Jiang T, Lu G, He B, et al. Detection and characterization of diverse alpha- and betacoronaviruses from bats in China. Virologica Sinica. 2016;31(1):69-77. doi: 10.1007/s12250-016-3727-3."
Merbecovirus,Myotis pilosus,Vespertilionidae,Yangochiroptera,Asia,"Anthony SJ, Johnson CK, Greig DJ, Kramer S, Che X, Wells H, et al. Global patterns in coronavirus diversity. Virus Evolution. 2017;3(1):vex012. doi: 10.1093/ve/vex012."
Merbecovirus,Eptesicus isabellinus,Vespertilionidae,Yangochiroptera,Europe,"Falcón A, Vázquez-Morón S, Casas I, Aznar C, Ruiz G, Pozo F, et al. Detection of alpha and betacoronaviruses in multiple Iberian bat species. Archives of Virology. 2011;156(10):1883-90. doi: 10.1007/s00705-011-1057-1."
Merbecovirus,Eptesicus serotinus,Vespertilionidae,Yangochiroptera,Eurasia,"Lee S, Jo S-D, Son K, An I, Jeong J, Wang S-J, et al. Genetic characteristics of coronaviruses from Korean bats in 2016. Microbial Ecology. 2018;75(1):174-82. doi: 10.1007/s00248-017-1033-8."
Merbecovirus,Hypsugo savii,Vespertilionidae,Yangochiroptera,Europe,"Falcón A, Vázquez-Morón S, Casas I, Aznar C, Ruiz G, Pozo F, et al. Detection of alpha and betacoronaviruses in multiple Iberian bat species. Archives of Virology. 2011;156(10):1883-90. doi: 10.1007/s00705-011-1057-1."
Merbecovirus,Laephotis capensis,Vespertilionidae,Yangochiroptera,Africa,"Ithete NL, Stoffberg S, Corman VM, Cottontail VM, Richards LR, Schoeman MC, et al. Close relative of human Middle East respiratory syndrome coronavirus in a bat, South Africa. Emerging Infectious Diseases. 2013;19(10):1697-9. doi: http://dx.doi.org/10.3201/eid1910.130946."
Merbecovirus,Laephotis zuluensis,Vespertilionidae,Yangochiroptera,Africa,"Ithete NL, Stoffberg S, Corman VM, Cottontail VM, Richards LR, Schoeman MC, et al. Close relative of human Middle East respiratory syndrome coronavirus in a bat, South Africa. Emerging Infectious Diseases. 2013;19(10):1697-9. doi: http://dx.doi.org/10.3201/eid1910.130946."
Merbecovirus,Pipistrellus abramus,Vespertilionidae,Yangochiroptera,Asia,"Lee S, Jo S-D, Son K, An I, Jeong J, Wang S-J, et al. Genetic characteristics of coronaviruses from Korean bats in 2016. Microbial Ecology. 2018;75(1):174-82. doi: 10.1007/s00248-017-1033-8."
Merbecovirus,Pipistrellus coromandra,Vespertilionidae,Yangochiroptera,Asia,"Anthony SJ, Johnson CK, Greig DJ, Kramer S, Che X, Wells H, et al. Global patterns in coronavirus diversity. Virus Evolution. 2017;3(1):vex012. doi: 10.1093/ve/vex012."
Merbecovirus,Pipistrellus hesperidus,Vespertilionidae,Yangochiroptera,Africa,"Anthony SJ, Johnson CK, Greig DJ, Kramer S, Che X, Wells H, et al. Global patterns in coronavirus diversity. Virus Evolution. 2017;3(1):vex012. doi: 10.1093/ve/vex012."
Merbecovirus,Pipistrellus kuhlii,Vespertilionidae,Yangochiroptera,Eurasia,"Moreno A, Lelli D, de Sabato L, Zaccaria G, Boni A, Sozzi E, et al. Detection and full genome characterization of two beta CoV viruses related to Middle East respiratory syndrome from bats in Italy. Virology Journal. 2017;14(1):239. doi: 10.1186/s12985-017-0907-1."
Merbecovirus,Pipistrellus nathusii,Vespertilionidae,Yangochiroptera,Europe,"Annan A, Baldwin HJ, Corman VM, Nkrumah EE, Badu EK, Meyer B, et al. Human betacoronavirus 2c EMC/2012-related viruses in bats, Ghana and Europe. Emerging Infectious Diseases. 2013;19(3):456-9. doi: http://dx.doi.org/10.3201/eid1903.121503."
Merbecovirus,Pipistrellus pipistrellus,Vespertilionidae,Yangochiroptera,Asia,"Anthony SJ, Johnson CK, Greig DJ, Kramer S, Che X, Wells H, et al. Global patterns in coronavirus diversity. Virus Evolution. 2017;3(1):vex012. doi: 10.1093/ve/vex012."
Merbecovirus,Pipistrellus pygmaeus,Vespertilionidae,Yangochiroptera,Europe,"Annan A, Baldwin HJ, Corman VM, Nkrumah EE, Badu EK, Meyer B, et al. Human betacoronavirus 2c EMC/2012-related viruses in bats, Ghana and Europe. Emerging Infectious Diseases. 2013;19(3):456-9. doi: http://dx.doi.org/10.3201/eid1903.121503."
Merbecovirus,Plecotus auritus,Vespertilionidae,Yangochiroptera,Europe,"Rizzo F, Edenborough KM, Toffoli R, Culasso P, Zoppi S, Dondo A, et al. Coronavirus and paramyxovirus in bats from Northwest Italy. BMC Veterinary Research. 2017;13(1):396. doi: 10.1186/s12917-017-1307-x."
Merbecovirus,Tylonycteris pachypus,Vespertilionidae,Yangochiroptera,Asia,"Anthony SJ, Johnson CK, Greig DJ, Kramer S, Che X, Wells H, et al. Global patterns in coronavirus diversity. Virus Evolution. 2017;3(1):vex012. doi: 10.1093/ve/vex012."
Merbecovirus,Ia io,Vespertilionidae,Yangochiroptera,Asia,"Anthony SJ, Johnson CK, Greig DJ, Kramer S, Che X, Wells H, et al. Global patterns in coronavirus diversity. Virus Evolution. 2017;3(1):vex012. doi: 10.1093/ve/vex012."
Merbecovirus,Vespertilio sinensis,Vespertilionidae,Yangochiroptera,Asia,"Anthony SJ, Johnson CK, Greig DJ, Kramer S, Che X, Wells H, et al. Global patterns in coronavirus diversity. Virus Evolution. 2017;3(1):vex012. doi: 10.1093/ve/vex012."
Merbecovirus,Eumops glaucinus,Molossidae,Yangochiroptera,Latin America,"Góes LGB, Campos ACA, de Carvalho C, Ambar G, Quieroz LH, Cruz-Neto AP, et al. Genetic diversity of bats coronaviruses in the Atlantic forest hotspot biome, Brazil. Infection, Genetics and Evolution. 2016;4:510-3. doi: http://dx.doi.org/10.1016/j.meegid.2016.07.034."
Merbecovirus,Nyctinomops laticaudatus,Molossidae,Yangochiroptera,Latin America,"Anthony SJ, Johnson CK, Greig DJ, Kramer S, Che X, Wells H, et al. Global patterns in coronavirus diversity. Virus Evolution. 2017;3(1):vex012. doi: 10.1093/ve/vex012."
Merbecovirus,Taphozous perforatus,Emballonuridae,Yangochiroptera,Africa/Asia,"Memish ZA, Mishra N, Olival KJ, Fagbo SF, Kapoor V, Epstein JH, et al. Middle East respiratory syndrome coronavirus in bats, Saudi Arabia. Emerging Infectious Diseases. 2013;19(11):1819-1823. doi:10.3201/eid1911.131172."
Merbecovirus,Nycteris gambiensis,Nycteridae,Yangochiroptera,Africa,"Annan A, Baldwin HJ, Corman VM, Nkrumah EE, Badu EK, Meyer B, et al. Human betacoronavirus 2c EMC/2012-related viruses in bats, Ghana and Europe. Emerging Infectious Diseases. 2013;19(3):456-9. doi: http://dx.doi.org/10.3201/eid1903.121503."
Merbecovirus,Pteronotus davyi,Mormoopidae,Yangochiroptera,Latin America,"Góes LGB, Ruvalcaba SG, Campos AA, Queiroz LH, de Carvalho C, Jerez JA, et al. Novel bat coronaviruses, Brazil and Mexico. Emerging Infectious Diseases. 2013;19(10):1711-3. doi: http://dx.doi.org/10.3201/eid1910.130525."
Merbecovirus,Pteronotus parnellii,Mormoopidae,Yangochiroptera,Latin America,"Anthony SJ, Johnson CK, Greig DJ, Kramer S, Che X, Wells H, et al. Global patterns in coronavirus diversity. Virus Evolution. 2017;3(1):vex012. doi: 10.1093/ve/vex012."
